iter	RMSE
0	21.67039948
1	21.60473315
2	21.54449211
3	21.48370373
4	21.4273651
5	21.37340008
6	21.32798427
7	21.28080129
8	21.23504873
9	21.19232374
10	21.15683484
11	21.11992234
12	21.08546736
13	21.05198998
14	21.01908794
15	20.98829515
16	20.95981342
17	20.93324067
18	20.90805544
19	20.88434197
20	20.8624234
21	20.84012362
22	20.82017302
23	20.80012376
24	20.78199668
25	20.76550732
26	20.75015306
27	20.73439048
28	20.7203305
29	20.70700238
30	20.69398543
31	20.6820674
32	20.66968672
33	20.65845876
34	20.64810403
35	20.63808134
36	20.62893882
37	20.61959168
38	20.61002692
39	20.60153195
40	20.59398958
41	20.58657869
42	20.57884752
43	20.57145961
44	20.5651756
45	20.55908788
46	20.55333011
47	20.54843764
48	20.54245593
49	20.53660116
50	20.5298014
51	20.52537116
52	20.52020757
53	20.51500236
54	20.51089153
55	20.50658018
56	20.50204948
57	20.49807679
58	20.49403639
59	20.49010153
60	20.48659328
61	20.4834577
62	20.48078952
63	20.47826581
64	20.47416928
65	20.47153734
66	20.46896025
67	20.46666967
68	20.46416491
69	20.46193394
70	20.45838931
71	20.45543974
72	20.45370097
73	20.45126072
74	20.44878663
75	20.44699697
76	20.44547554
77	20.44385236
78	20.44041415
79	20.43844313
80	20.43661407
81	20.43395162
82	20.43191975
83	20.43043077
84	20.42892588
85	20.4275621
86	20.42572219
87	20.42428313
88	20.42272939
89	20.42079717
90	20.41872151
91	20.41775325
92	20.41668417
93	20.4147415
94	20.41274725
95	20.41065199
96	20.4090547
97	20.40742665
98	20.40616721
99	20.40516969
100	20.40420871
101	20.40288876
102	20.40183571
103	20.40057889
104	20.39910938
105	20.39780394
106	20.39678623
107	20.39563988
108	20.39459437
109	20.39333315
110	20.39252396
111	20.39163162
112	20.38977561
113	20.38806191
114	20.38636983
115	20.3856801
116	20.38418378
117	20.38267944
118	20.38100672
119	20.38023959
120	20.37912993
121	20.3785043
122	20.37702726
123	20.37607781
124	20.37532635
125	20.37344607
126	20.37253112
127	20.37079517
128	20.36971768
129	20.36848662
130	20.36683353
131	20.36640067
132	20.36583309
133	20.3649703
134	20.36285328
135	20.35969568
136	20.35899513
137	20.35785458
138	20.35736604
139	20.35569025
140	20.35522841
141	20.35456736
142	20.35343648
143	20.35287944
144	20.35164339
145	20.34971929
146	20.34902336
147	20.34774841
148	20.34712975
149	20.34638217
150	20.34443179
151	20.34349173
152	20.34314862
153	20.34267658
154	20.34141314
155	20.34003259
156	20.33868665
157	20.33756679
158	20.33619391
159	20.33468701
160	20.33375741
161	20.33330302
162	20.33252219
163	20.33184253
164	20.33022517
165	20.32903736
166	20.32862454
167	20.3271667
168	20.32585167
169	20.32470728
170	20.32418717
171	20.32346257
172	20.32229224
173	20.3218634
174	20.32124097
175	20.32069099
176	20.32018765
177	20.31957708
178	20.31900422
179	20.3182705
180	20.31748909
181	20.31661233
182	20.31629955
183	20.31580207
184	20.31551807
185	20.31433238
186	20.31420328
187	20.31342966
188	20.31252591
189	20.31168072
190	20.31103414
191	20.31019882
192	20.30913897
193	20.30858469
194	20.30720588
195	20.30604057
196	20.30464767
197	20.30281748
198	20.30122662
199	20.30087186
200	20.30033425
201	20.29996855
202	20.29894991
203	20.29839535
204	20.29804253
205	20.29688166
206	20.29595133
207	20.29560145
208	20.29510744
209	20.29429731
210	20.29374759
211	20.29272566
212	20.29239461
213	20.29144817
214	20.29059016
215	20.2896327
216	20.28940203
217	20.28891482
218	20.28717371
219	20.28677296
220	20.28577454
221	20.28490238
222	20.2843723
223	20.2823155
224	20.28179231
225	20.2812542
226	20.28014509
227	20.27941195
228	20.2785037
229	20.27812865
230	20.27735166
231	20.27710394
232	20.27655276
233	20.27590407
234	20.27495287
235	20.2741081
236	20.27293591
237	20.27242841
238	20.27170793
239	20.27032064
240	20.26957122
241	20.26927164
242	20.26828729
243	20.26777171
244	20.26705206
245	20.26658821
246	20.26527522
247	20.26387554
248	20.26359978
249	20.2632344
250	20.26185748
251	20.26114061
252	20.26050038
253	20.25945586
254	20.25889922
255	20.2586214
256	20.25817328
257	20.2576913
258	20.25684183
259	20.25600726
260	20.25545153
261	20.25441172
262	20.2535661
263	20.25319258
264	20.25243356
265	20.25111767
266	20.25066142
267	20.2496124
268	20.24873171
269	20.24839596
270	20.2471635
271	20.24586121
272	20.24538192
273	20.24400977
274	20.24350851
275	20.24323346
276	20.24268336
277	20.24244617
278	20.24143062
279	20.24076784
280	20.24052066
281	20.24001533
282	20.23950102
283	20.238586
284	20.23756626
285	20.23623943
286	20.23581874
287	20.23507303
288	20.23488659
289	20.23425152
290	20.23315778
291	20.23249373
292	20.23182867
293	20.23070987
294	20.22973761
295	20.22936863
296	20.22823275
297	20.22755059
298	20.22646048
299	20.22569447
300	20.2249045
301	20.22381425
302	20.22282669
303	20.22201267
304	20.22142308
305	20.2209472
306	20.2198717
307	20.21875823
308	20.21748106
309	20.2170909
310	20.21651514
311	20.21522186
312	20.21494143
313	20.2140742
314	20.21278475
315	20.21187949
316	20.21129959
317	20.21059689
318	20.21012476
319	20.20945197
320	20.20920441
321	20.20847369
322	20.20806838
323	20.20734861
324	20.20681549
325	20.20540477
326	20.20496347
327	20.20389211
328	20.20332296
329	20.20207776
330	20.20153952
331	20.20109813
332	20.20056285
333	20.20010546
334	20.1996131
335	20.19935044
336	20.19848254
337	20.19751471
338	20.19716812
339	20.19636405
340	20.19577271
341	20.19450407
342	20.19344415
343	20.19323036
344	20.19261695
345	20.1920295
346	20.19173077
347	20.19106236
348	20.19022308
349	20.18977744
350	20.18930382
351	20.18887915
352	20.18819266
353	20.18731028
354	20.18680163
355	20.18649582
356	20.18515464
357	20.184527
358	20.1843401
359	20.18391432
360	20.18341657
361	20.1829518
362	20.18164537
363	20.18081069
364	20.18016691
365	20.1795641
366	20.17915422
367	20.17891229
368	20.17827945
369	20.17782955
370	20.17739164
371	20.1770837
372	20.17658478
373	20.17585188
374	20.1756259
375	20.17479297
376	20.17464898
377	20.174315
378	20.17361402
379	20.17295701
380	20.17210597
381	20.17139991
382	20.17037177
383	20.16921056
384	20.16802628
385	20.16730807
386	20.16614868
387	20.16555045
388	20.16514029
389	20.16455504
390	20.16411384
391	20.16328343
392	20.16295526
393	20.1628252
394	20.16242198
395	20.16198073
396	20.16100815
397	20.16008856
398	20.1596963
399	20.15939909
400	20.15876864
401	20.15799406
402	20.15776288
403	20.15764879
404	20.15705832
405	20.1565479
406	20.15583529
407	20.15558507
408	20.15458816
409	20.15399559
410	20.15368329
411	20.15324786
412	20.15303064
413	20.15191347
414	20.15127478
415	20.15009445
416	20.14965994
417	20.14899114
418	20.14836236
419	20.14785272
420	20.14722391
421	20.14679034
422	20.1463077
423	20.14587211
424	20.1452863
425	20.14482264
426	20.14401248
427	20.1436199
428	20.14335651
429	20.14212563
430	20.14155173
431	20.14125626
432	20.1410319
433	20.14062825
434	20.1402947
435	20.13996716
436	20.13903359
437	20.13853974
438	20.13827127
439	20.13775336
440	20.13707915
441	20.13650912
442	20.13605728
443	20.1347929
444	20.13438311
445	20.13349236
446	20.13309056
447	20.13253043
448	20.13215266
449	20.13165864
450	20.13103835
451	20.13058639
452	20.13015547
453	20.12993299
454	20.12887868
455	20.12847379
